"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_get_friends_page_invalid_parameters[page=1_size=-1]","tests.api.soap","Sat Nov 08 14:55:49 UTC 2025","broken","Sat Nov 08 14:55:49 UTC 2025","TestSoapUsers","test_soap_users","",""
"Тест конвертации валют с различными граничными значениями сумм.","0","Граничные значения сумм: Очень большая сумма USD->EUR","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"","0","Эквивалентность сумм: Очень маленькая сумма возвращает 0","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceEquivalencePartitioning","test_grpc","",""
"","0","Поиск траты","tests.ui","Sat Nov 08 14:56:26 UTC 2025","broken","Sat Nov 08 14:56:26 UTC 2025","","test_spend","",""
"","0","test_get_all_users_page_out_of_range[page=999_size=5]","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","Полный пользовательский flow","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestIntegration","test_spend","",""
"Проверка возможности архивации и разархивации категории","0","Жизненный цикл архивации категории","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestCategoryAPI","test_category","",""
"","0","Проверка статистики","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_spend","",""
"","0","test_get_all_users_pagination[page=3_size=2]","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","test_get_friends_page_invalid_parameters[page=-1_size=1]","tests.api.soap","Sat Nov 08 14:55:49 UTC 2025","broken","Sat Nov 08 14:55:49 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","test_cannot_update_user_without_id","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"
    Тест успешного получения всех доступных валют из gRPC сервиса.
    Проверяет что все ожидаемые валюты присутствуют с корректными курсами обмена.
    ","0","Получение всех валют - успешное получение","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceIntegration","test_grpc","",""
"","0","Успешный вход в систему","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_auth","",""
"Тест конвертации валют с различными граничными значениями сумм.","0","Граничные значения сумм: Единичная сумма USD->EUR","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"","0","Эквивалентность сумм: Большая сумма","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceEquivalencePartitioning","test_grpc","",""
"","0","Отрицательные суммы: Большая отрицательная сумма","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"","0","Валютные пары: USD->RUB обычная","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"","0","test_get_friends","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","test_get_friends_page[page=1_size=5]","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","Валютные пары: EUR->KZT обычная","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"Тест конвертации валют с различными граничными значениями сумм.","0","Граничные значения сумм: Микро сумма - сервер возвращает 0","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"","0","test_get_friends_page_out_of_range[page=4_size=100]","tests.api.soap","Sat Nov 08 14:55:49 UTC 2025","broken","Sat Nov 08 14:55:49 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","Эквивалентность сумм: Средняя отрицательная сумма","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceEquivalencePartitioning","test_grpc","",""
"Тест конвертации валют с различными граничными значениями сумм.","0","Граничные значения сумм: Большая сумма USD->EUR","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"","0","Выход из системы","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_auth","",""
"","0","test_get_all_users_pagination[page=0_size=6]","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"Проверка создания категории с корректными данными","0","Создание новой категории - базовая валидация","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestCategoryAPI","test_category","",""
"","0","Создание траты с различными сценариями","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestSpendAPI","test_spend","",""
"","0","test_get_friends_page[page=2_size=3]","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","Редактирование валюты траты","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_spend","",""
"","0","Эквивалентность сумм: Обычная сумма","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceEquivalencePartitioning","test_grpc","",""
"Проверка создания категории с контекстом пользователя","0","Создание категории для пользователя","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestCategoryAPI","test_category","",""
"Проверка валидации некорректных имен категорий","0","Негативные тесты - некорректные имена категорий","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestCategoryAPI","test_category","",""
"","0","Редактирование категории с невалидным значением","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_category","",""
"","0","Переход в профиль","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_profile","",""
"Тест проверяет что UNSPECIFIED валюта возвращает корректную gRPC ошибку.","0","Обработка неуказанной валюты","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceErrorScenarios","test_grpc","",""
"","0","Переход к друзьям","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_profile","",""
"","0","Эквивалентность сумм: Минимальная рабочая сумма","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceEquivalencePartitioning","test_grpc","",""
"Тест конвертации валют с различными граничными значениями сумм.","0","Граничные значения сумм: Нормальная сумма USD->EUR","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"","0","Получение категории при создании новой траты","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_category","",""
"","0","test_get_all_users_page_invalid_parameters[page=1_size=-1]","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","test_get_friends_page_out_of_range[page=1000_size=1]","tests.api.soap","Sat Nov 08 14:55:49 UTC 2025","broken","Sat Nov 08 14:55:49 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","Отрицательные суммы: Средняя отрицательная сумма","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"","0","Тест создания траты с попыткой SQL injection","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestSpendAPI","test_spend","",""
"
    Тест точных конвертаций валют на основе известных курсов обмена.
    Проверяет точность расчетов конвертации валют.
    ","0","Расчет курса - точные конвертации: 1 -> 2","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceIntegration","test_grpc","",""
"","0","Ошибка при добавлении пустой траты","tests.ui","Sat Nov 08 14:56:26 UTC 2025","broken","Sat Nov 08 14:56:26 UTC 2025","","test_spend","",""
"","0","Редактирование категории траты","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_spend","",""
"","0","test_get_all_users_page_out_of_range[page=100_size=10]","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","Редактирование суммы траты","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_spend","",""
"","0","Неуспешный вход - неверный пароль","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_auth","",""
"
    Тест точных конвертаций валют на основе известных курсов обмена.
    Проверяет точность расчетов конвертации валют.
    ","0","Расчет курса - точные конвертации: 3 -> 1","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceIntegration","test_grpc","",""
"Проверка валидации некорректных имен категорий","0","Негативные тесты - некорректные имена категорий","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestCategoryAPI","test_category","",""
"Проверка возможности изменения имени существующей категории","0","Обновление категории - изменение имени","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestCategoryAPI","test_category","",""
"","0","Эквивалентность сумм: Нулевая сумма","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceEquivalencePartitioning","test_grpc","",""
"","0","Создание траты с различными сценариями","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestSpendAPI","test_spend","",""
"Тест конвертации валют с различными граничными значениями сумм.","0","Граничные значения сумм: Небольшая сумма USD->EUR","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"Проверка обработки попытки обновления несуществующей категории","0","Обновление несуществующей категории","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestCategoryAPI","test_category","",""
"","0","test_get_user_that_doesnt_exist","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","Создание траты с различными сценариями","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestSpendAPI","test_spend","",""
"","0","Валютные пары: USD->KZT обычная","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"
    Тест точных конвертаций валют на основе известных курсов обмена.
    Проверяет точность расчетов конвертации валют.
    ","0","Расчет курса - точные конвертации: 2 -> 3","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceIntegration","test_grpc","",""
"Проверка корректности структуры возвращаемых категорий","0","Получение всех категорий - валидация структуры","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestCategoryAPI","test_category","",""
"","0","Валютные пары: KZT->EUR обычная","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"","0","Получение имени пользователя","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_profile","",""
"","0","test_get_friends_page_invalid_parameters[page=1_size=0]","tests.api.soap","Sat Nov 08 14:55:49 UTC 2025","broken","Sat Nov 08 14:55:49 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","Валютные пары: RUB->USD обычная","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"","0","Переход ко всем людям","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_profile","",""
"Тест конвертации валют с различными граничными значениями сумм.","0","Граничные значения сумм: Минимальная рабочая сумма USD->EUR","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"","0","test_get_friends_page_invalid_parameters[page=-1_size=-1]","tests.api.soap","Sat Nov 08 14:55:49 UTC 2025","broken","Sat Nov 08 14:55:49 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","Редактирование существующей траты с валидными данными","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestSpendAPI","test_spend","",""
"","0","test_get_friends_page[page=4_size=2]","tests.api.soap","Sat Nov 08 14:55:49 UTC 2025","broken","Sat Nov 08 14:55:49 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","test_get_all_users","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","Редактирование категории","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_category","",""
"","0","Получение категории в профиле","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_category","",""
